sl.no,Pick_Time,Actual_Quantity,number_of_items_container,total_quantity_of_items_in_container,volume_of_items_present_in_container,Total_Weight_of_items_present_in_container,Height_of_item,Length_of_item,Width_of_item,weight_of_each_item
12204,54.68,1,5,5,714.5625,8.25,3.25,5.25,3.75,0.9375
12205,8.493,1,0,0,0,0,2.75,11.75,4,1.5
12206,5.47,1,7,13,469.71875,5.85,2.75,11.75,4,1.5
12207,9.2,1,0,0,0,0,7,10,1,1.1
12208,12.294,1,5,8,1095.390625,10.545,2.5,3.75,3.75,0.375
12209,15.624,1,1,1,34.375,1.0125,6,7,10,3.5
12210,6.1,1,13,16,1115.63125,7.3444,1,4.5,4.5,0.375
12211,13.73,1,8,18,611.206654,2.9561,9.25,3,3,2.24
12212,8.007,1,3,6,786.125,2.0062,3,4.25,4.25,1
12213,9.48,1,2,2,125.9375,1.7156,8.5,2.5,2.5,0.4062
12214,10.124,1,3,3,605.43875,14.0488,1.25,6.25,4.25,0.5625
12215,9.626,1,3,4,890.9375,9.7275,6,3.25,3.25,1.16
12216,17.627,1,3,6,1157.0625,1.5619,2.75,11.75,4,1.5
12217,13.03,1,6,11,545.6875,6.6509,5.25,3,3,1
12218,5.79,1,9,11,1524.9375,9.3637,3,11.5,4.25,1.84
12219,30.017,5,5,7,1471.0625,3.19,2.5,5.75,5,0.2188
12220,16.33,1,8,9,1276.89875,12.485,10.25,4.25,4.25,3
12221,20.777,1,9,12,1819.875,9.9862,7.5,9.5,0.5,0.25
12222,6.437,1,3,4,215.65625,2.9225,1.25,4.85,3.55,0.52
12223,28.747,1,0,0,0,0,4,5,5,0.875
12224,9.646,1,6,7,818.4935,9.6775,2.25,4.25,4.25,0.62
12225,9.976,2,16,20,1611.821875,13.0587,3,6,6,0.3125
12226,7.497,1,14,17,1406.589625,22.9012,3.5,2.75,2.75,0.4062
12227,14.143,1,0,0,0,0,2.75,5.25,2.5,1.04
12228,6.913,1,5,9,955.421875,4.6712,2.5,3.5,3.5,0.3312
12229,10.06,1,2,2,265.3125,3.42,5.5,8,6.5,2
12230,17.243,2,10,10,1066.390625,13.92,6.5,6.5,0.85,0.6438
12231,7.26,1,11,16,1847.86,14.6263,7.25,8.25,2.5,0.125
12232,7.703,1,0,0,0,0,2,4.5,3.75,0.58
12233,23.084,1,6,12,1159.40625,9.027,0.25,6.75,7.5,0.25
12234,7.454,1,6,6,636.380576,9.1059,5.5,2.75,2.75,1.2375
12235,9.94,1,9,15,1854.25,14.9775,1,5.5,5,0.75
12236,6.61,1,11,14,1516.265625,9.8849,5.75,4.5,1.75,0.5
12237,11.05,1,0,0,0,0,2,8.5,2,1.04
12238,11.02,2,5,7,659.921875,6.8125,3,5.25,5.25,1.06
12239,10.183,1,9,12,1080.848781,12.79,1.75,4.5,4.5,0.5
12240,36.574,2,8,11,1639.90625,5.2099,10.25,4.5,4.5,3
12241,8.933,2,1,1,152,3.4875,0.9,7.6,6.4,0.625
12242,6.476,1,1,1,49.21875,0.75,4,5.25,3,1.1625
12243,19.213,1,13,23,1215.384375,13.64,1.625,5.375,2.625,0.25
12244,15.026,1,5,6,1270.84375,2.8137,2,5,1,0.1437
12245,19.66,4,12,17,1524.90125,15.4463,1.25,4.5,4.5,0.1062
12246,25.656,2,7,14,851.96875,5.6209,7,2.25,2.25,1.0625
12247,22.303,2,5,7,468.9375,2.8825,1.5,5.25,4.5,0.78
12248,16.196,1,3,3,457.65625,3.4725,2.5,3.75,3.75,0.375
12249,11.866,1,0,0,0,0,2.25,5,5,0.625
12250,9.56,4,1,1,60.75,1,2.5,3.75,3.75,0.3312
12251,5.27,1,4,5,796.59375,4.72,2.5,4,4,0.4
12252,11.06,2,5,16,1794.53125,5.4686,1,9.5,6.25,0.52
12253,14.257,1,2,3,394,5.4875,2.75,11.75,4,1.5
12254,13.417,1,6,9,969.96875,12.89,4,3,3,1
12255,6.96,1,0,0,0,0,2.5,3.5,3.5,0.3312
12256,33.956,1,6,7,696.924699,3.9363,9.25,3,3,2.24
12257,7.85,1,1,2,1062.828,14.8,10.5,4,4,4
12258,5.666,1,3,5,686.5,6.35,3,11.5,4.25,1.84
12259,6.447,1,4,7,1090.325,3.2706,4,5,5,0.875
12260,10.89,1,8,10,1438.59375,9.2634,2.25,3.75,3.75,0.375
12261,7.276,1,11,19,987.46875,10.0362,1.25,7.25,6,0.3125
12262,12.5,2,2,2,195.1875,2.32,9.5,4,4,3.4875
12263,13.313,1,0,0,0,0,4,5,5,0.875
12264,12.684,2,2,2,336,2.74,3,11.5,4.25,1.84
12265,8.267,1,0,0,0,0,1,5.5,5.5,0.625
12266,8.883,1,8,15,924.09375,5.025,6.5,6.5,0.85,0.6438
12267,14.893,1,5,13,711.5,7.16,1.5,5.25,2.75,0.54
12268,10.597,3,6,21,1954.921875,7.4774,2.5,3.25,3.25,0.3312
12269,10.394,2,3,5,305.130202,5.3312,2.5,3.75,3.75,0.375
12270,5.176,1,3,5,477.9375,5.5225,2.75,5,2.5,1.0125
12271,6.396,1,1,4,40,0.1562,9.5,4,4,3.4875
12272,13.714,1,6,10,762.625,8.15,6.25,2.5,2.5,0.9
12273,8.613,1,6,6,364.375,3.1963,2.5,5.75,5,0.2188
12274,13.703,2,4,4,220.68796,2.4,9.5,4,4,3.4875
12275,7.56,1,5,6,912,5.4625,2,5.25,5.25,0.5
12276,6.656,3,0,0,0,0,2.5,3.75,3.75,0.3312
12277,9.086,1,14,16,1261.42592,18.3692,2.5,7.5,5.25,1.625
12278,30.327,10,1,1,177.1875,4.54,2.5,4,4,0.4
12279,31.56,5,0,0,0,0,2.5,4,4,0.4
12280,29.107,1,0,0,0,0,3.5,8.87,7.25,0.3125
12281,15.37,1,0,0,0,0,2.25,4.25,4.25,0.62
12282,11.22,2,2,2,163.75,2.5625,2.5,3.75,3.75,0.3312
12283,6.61,1,6,11,499.078125,9.02,3,11.75,4.25,1.125
12284,24.474,3,9,30,1693.4375,15.85,1.75,6.75,3.75,0.375
12285,23.973,1,0,0,0,0,2.75,6,4,0.75
12286,6.713,1,0,0,0,0,9,6.75,0.5,0.54
12287,14.964,2,4,4,415.765625,4.81,2.26,3.74,3.74,0.3312
12288,12.243,1,3,4,365.40625,2.2187,1,9,5,0.4375
12289,8.79,1,13,20,1846.49375,11.9187,3,11.5,4.25,1.84
12290,10.897,1,5,5,522.674476,3.0562,2.5,3.75,3.75,0.3312
12291,10.873,1,5,5,696.1875,11.12,2.75,5,2.5,1.0125
12292,12.14,1,2,2,276.09375,5.5675,1.25,6.25,4.25,0.5625
12293,9.117,1,0,0,0,0,2.75,11.75,4,1.5
12294,14.187,1,7,7,1158.5625,14.5975,6.25,2.5,2.5,0.9
12295,6.694,1,8,9,906.296875,11.1025,1.25,4.85,3.55,0.52
12296,3.573,2,6,14,530.6,2.355,8.5,5.5,0.85,0.42
12297,7.41,2,4,4,364,6.3813,9.5,4,4,3.4875
12298,9.343,1,1,1,30.1640625,0.3312,2.5,3.25,3.25,0.3312
12299,110.33,1,6,7,556.860291,7.0937,1.75,4.5,4.5,0.5
12300,15.197,2,8,9,876.90625,9.8262,9.25,3,3,2.24
12301,59.687,1,13,18,1521.288125,13.2725,8.5,5.5,0.85,0.42
12302,6.24,1,2,4,561.6,1.3231,3.5,8.87,7.25,0.3125
12303,6.324,1,1,2,108.75,0.3125,9.25,3,3,2.24
12304,13.804,2,5,6,777.1875,2.6975,2.75,3.25,3.25,0.3312
12305,13.457,1,10,13,1243.570625,16.1769,9.45,6.3,0.5,0.4375
12306,2.91,1,6,6,761.765625,11.3825,3,5,5,1.0625
12307,5.846,1,6,8,914.0675313,8,3.5,8.87,7.25,0.3125
12308,77.54,10,0,0,0,0,3.25,4.25,4.25,0.54
12309,59.804,4,4,5,436.203125,4.465,2.5,4,4,0.4
12310,11.55,1,1,1,75,0.375,1.5,4.25,2.5,0.5
12311,11.977,1,15,19,2079.623906,11.6987,1,8,6,0.3125
12312,0.78,2,3,4,151.056,1.9375,6,2.75,2.75,0.625
12313,8.937,1,11,15,1062.0625,10.7899,3.25,5.25,4,1
12314,14.29,1,7,8,776.25,6.1825,2.75,5,2.5,1.0125
12315,3.453,1,1,1,40,0.44,2.75,5,2.5,1.0125
12316,14.353,2,1,1,189.65625,3,9.5,4,4,3.4875
12317,12.966,3,7,10,1112.765625,9.6,3,11.5,4.25,1.84
12318,13.89,2,2,4,497.8125,1.625,3,11.5,4.25,1.84
12319,4.7,1,7,11,1281.05625,12.9056,3.25,5.25,3.75,0.9375
12320,21.296,1,8,15,731.96625,11.395,3,11.5,4.25,1.84
12321,6.584,1,9,19,1446.375,8.3075,3,11.5,4.25,1.84
12322,9.197,1,7,9,1627.5,13.6675,2.25,3,3,0.2656
12323,19.074,1,1,1,149.8125,1.5625,5.5,8,6.5,2
12324,15.176,2,0,0,0,0,3.9,3,3,0.1688
12325,8.48,1,2,4,549.92,1.3125,1.75,8.25,7.5,1
12326,21.223,1,2,2,503.28125,8.8125,3,5,5,0.625
12327,14.343,4,2,4,140.625,0.7062,2.5,3.75,3.75,0.3312
12328,6.64,1,2,2,213.828125,2.8088,8.5,2.5,2.5,0.4062
12329,11.977,2,8,28,1233.09375,7.8562,3,5,5,1.0625
12330,17.793,1,0,0,0,0,2.5,7.8,8.1,0.25
12331,6.274,1,0,0,0,0,6.25,2.5,2.5,0.9
12332,29.694,1,0,0,0,0,8.5,2.5,2.5,0.4062
12333,8.893,2,2,2,207.78125,1.3125,2.5,4,1.5,0.1875
12334,16.186,1,11,12,772.491875,10.1812,3,9,8.5,1.125
12335,9.43,1,7,9,1103.30375,9.335,5.25,10.25,0.25,0.5
12336,4.263,1,2,2,109.6875,1.52,2.75,11.75,4,1.5
12337,12.67,2,6,8,933.38,5.0006,2,8,6.5,0.5625
12338,15.473,1,4,4,561.18925,4.83,2.25,3,3,0.2656
12339,6.23,1,3,7,379.0625,1.76,8.5,2.5,2.5,0.4062
12340,8.34,1,8,14,1552.6875,9.6975,2.25,4.25,4.25,0.62
12341,21.986,1,1,1,130.078125,4.46,2.5,7,6,0.4562
12342,9.217,1,7,8,1009.3125,3.925,1.55,4.85,4.85,0.56
12343,6.466,1,7,14,1298.1875,10.6,3.5,8.87,7.25,0.3125
12344,5.694,1,3,3,268.421875,2.75,9.5,4,4,3.4875
12345,7.797,1,2,2,177.875,1.68,7.5,9.5,0.5,0.25
12346,23.706,1,0,0,0,0,1.5,5.25,2.75,0.54
12347,29.68,2,6,7,653.9375,5.7425,9.5,4,4,3.4875
12348,37.663,1,0,0,0,0,2.25,3,3,0.2656
12349,18.09,1,7,19,2124.09375,7.9931,2,4.25,4.25,0.54
12350,7.416,1,15,17,1670.424875,13.1162,1,7,8,0.625
12351,8.607,1,8,9,1157.995,7.8175,1.75,4.5,4.5,0.5
12352,8.803,1,5,5,393.765625,5.73,2.56,7.44,4.94,1.5
12353,18.533,1,2,2,250.25,3.06,2.75,11.75,4,1.5
12354,7.39,1,4,4,467.515625,7.235,1.75,8.5,4.75,0.6
12355,4.203,1,2,3,1471.3875,1.0375,2.75,5,2.5,1.0125
12356,10.316,3,6,15,533.9302318,3.2525,3.5,2.75,2.75,0.4062
12357,18.687,1,6,6,598.734375,10.8125,2.25,3.75,3.75,0.375
12358,9.643,12,12,22,1997.203125,12.6925,4.5,1.5,1.5,0.1062
12359,27.72,12,1,1,57.859375,0.68,3.75,1.5,1.5,0.125
12360,12.38,1,3,4,451.75,4.2212,2.75,5,2.75,1.2812
12361,9.154,1,5,8,998.4375,5.555,3.5,2.75,2.75,0.4062
12362,11.833,1,1,2,36.5625,0.375,1.25,2.25,7,0.0156
12363,6.236,1,7,7,550.1349676,6.7844,2,4.5,3.75,0.58
12364,12.617,1,4,5,235.565625,2.605,9.5,4,4.25,4
12365,13.37,2,7,15,759.643226,5.6249,2,5,1,0.1437
12366,22.973,2,4,4,324.390625,7.46,7,2.2,2.2,0.625
12367,8.977,1,2,2,109.6875,1.0637,1.25,6.25,4.25,0.5625
12368,4.81,1,12,13,2040.5,24.1375,5.25,10.25,0.25,0.5
12369,18.95,2,4,7,858.4375,10.07,1.6,4.5,4.5,0.55
12370,24.57,3,8,8,601.950295,6.13,5.88,1.25,3.25,0.15
12371,53.593,1,1,1,256,1.8125,8.5,2.5,2.5,0.4062
12372,10.636,1,12,20,2106.86875,8.7936,0.5,5.5,6.5,0.75
12373,12.107,1,15,17,1684.734375,14.1881,2,5.9,5.9,0.6875
12374,4.633,1,6,7,794.2346177,10.84,9.25,3,3,2.24
12375,21.217,2,16,26,1239.846626,9.8261,0.25,7.5,9.75,0.1875
12376,7.08,1,12,14,461.13125,4.2396,2.5,3.75,3.75,0.375
12377,31.28,1,14,19,1413.765625,15.0088,1.5,5.25,2.75,0.54
12378,15.56,1,7,8,544.1625,3.8563,3,6.5,4.5,0.25
12379,7.36,1,9,18,856.1122187,9.2998,2.75,4.75,2.5,1.04
12380,8.976,1,0,0,0,0,2,4.75,4.75,0.5
12381,8.043,1,0,0,0,0,5.5,8,6.5,2
12382,18.067,1,1,1,40,0.0009,4.75,6,1.5,0.3125
12383,10.543,1,5,8,483.4375,6.63,9.5,7,1.5,0.52
12384,8.206,1,4,12,1755.71875,6.0375,4,5,5,0.875
12385,13.47,3,9,18,1455.59375,8.0481,6.5,6.5,0.85,0.6438
12386,22.307,1,8,18,1127.46875,10.9762,9.5,4,4,3.4875
12387,12.133,1,5,8,521.125,3.43,2.26,3.74,3.74,0.3312
12388,5.933,1,16,19,1932.861085,15.9449,1.55,4.85,4.85,0.56
12389,9.33,1,3,5,176.625,1.75,2.5,7.8,8.1,0.25
12390,8.346,1,1,1,161.5,4,4,3,3,1
12391,6.123,1,8,12,1153.5,11.23,1.5,6.5,6.5,0.5
12392,16.98,1,1,3,54.84375,0.1875,2.75,5,2.5,1.0125
12393,18.85,1,2,2,593.084562,14.9,5.25,2.5,2.5,0.275
12394,6.74,1,0,0,0,0,1.78,2.92,2.91,0.34
12395,7.38,1,0,0,0,0,2.75,5,2.5,1.0125
12396,5.78,1,3,3,734.03125,2.815,9.5,4,4,3.4875
12397,6.22,1,1,1,105.875,0.5,4,5.25,3,1.1625
12398,8,1,5,13,636.40625,3.6687,2.5,7,1.5,0.24
12399,5.933,1,3,3,269.28125,4.88,1,5.5,5,0.75
12400,18.373,1,9,12,1064.234375,14.5025,5,10.75,1,0.5
12401,19.227,1,0,0,0,0,0.9,7.6,6.4,0.625
12402,13.33,2,9,26,1501.025,8.2924,2.5,3.25,3.25,0.3312
12403,5.99,1,15,26,1147.4309,15.9073,2.48,3.15,3.15,0.3312
12404,11.13,1,5,6,580.75,3.1125,7.25,3,1.5,0.58
12405,11.403,1,0,0,0,0,7,10,1,1.1
12406,6.557,1,13,16,1620.315625,14.32,2.75,11.75,4,1.5
12407,14.094,1,9,14,1374.8125,9.93,6,2.75,2.75,0.625
12408,23.404,2,2,2,640.707,2.1425,2.75,11.75,4,1.5
12409,5.126,1,7,9,642.815,5.965,3,11.5,4.25,1.84
12410,25.36,10,4,5,489.375,3.62,2.5,4,4,0.4
12411,7.67,1,0,0,0,0,1.5,6.25,5.25,0.4875
12412,10.743,1,9,14,1682.375,17.4062,2.75,5,2.5,1.0125
12413,15.85,1,10,19,1032,11.0424,2.5,3.5,3.5,0.3312
12414,8.814,1,4,4,376.756875,7.015,0.9,7.6,6.4,0.625
12415,28.167,1,4,4,640.078125,4.0588,2.75,5,2.5,1.0125
12416,18.32,1,3,3,310.671875,7.495,6.25,2.5,2.5,0.9
12417,16.047,1,0,0,0,0,3,11.75,4.25,1.125
12418,8.91,2,4,9,679.974147,6.605,1.5,6.5,6.5,0.5
12419,7.837,1,9,11,827.4975,9.865,6,3.25,3.25,1.16
12420,18.13,1,11,14,1491.78125,15.6225,1.5,5.25,2.75,0.54
12421,21.28,1,2,2,258.1875,2.3,3.25,5.25,4,1
12422,5.767,1,8,8,1628.65625,10.2375,9.5,4,4,3.4875
12423,5.91,1,8,10,828.375,5.6975,2.25,3,3,0.2656
12424,14.323,2,7,14,768.2239051,7.205,10.25,4.5,4.5,3
12425,89.174,2,6,11,1585.4375,8.57,3,11.5,4.25,1.84
12426,6.4,1,11,15,2099.234375,22.59,3,11.5,4.25,1.84
12427,6.243,1,1,1,54,0.625,2,4.5,3.75,0.58
12428,6.727,1,0,0,0,0,9.5,4,4,3.4875
12429,10.687,2,0,0,0,0,3.5,8.87,7.25,0.3125
12430,9.483,1,1,1,29.046875,0.3312,3.25,6.5,3.25,1.0625
12431,14.293,2,1,1,20.25,0.2656,7.25,8.25,2.5,0.125
12432,12.933,1,0,0,0,0,1,5.5,5.5,0.625
12433,29.796,1,2,2,200,4.4009,3,11.75,4.25,1.125
12434,14.373,2,0,0,0,0,6,6,6,0.7931
12435,30.677,2,0,0,0,0,9.5,4,4,3.4875
12436,12.96,1,3,5,434.75,1.9875,9.45,6.3,0.5,0.4375
12437,10.324,2,6,12,949.3125,10.125,2.5,4,4,0.4
12438,6.69,1,8,15,1147.703125,10.0487,8.5,2.5,2.5,0.4062
12439,67.194,1,3,3,86.05,3.9,2.5,3.75,3.75,0.375
12440,35.25,4,1,1,96,0.375,7.25,3,1.5,0.58
12441,57.663,2,8,11,928.8875,11.9375,0.9,7.6,6.4,0.625
12442,8.434,1,7,9,493.4375,5.8825,5.25,3,3,1
12443,7.057,1,4,13,998.1875,7.9437,9.5,4,4,3.4875
12444,11.976,2,1,1,152,4.575,2,4.5,3.75,1.02
12445,25.66,1,5,5,762.71875,10.8106,3.15,4.5,4.5,1.06
12446,11.12,1,4,8,703.75,5.7312,3,11.5,4.25,1.84
12447,19.87,1,3,3,1025.3125,2.8687,1,5.5,5,0.75
12448,7.803,1,3,7,607.2609,1.0993,8.5,5.5,0.85,0.42
12449,22.484,2,3,3,102.9375,1.94,6,6,6,0.7931
12450,16.077,3,14,45,1811.28125,8.241,2.5,4,4,0.3312
12451,25.36,2,0,0,0,0,1.5,5.25,4.5,0.78
12452,23.383,2,4,10,581.234375,3.4884,3,11.5,4.25,1.84
12453,13.36,4,10,16,1049.25,9.3625,1.75,4.5,4.5,0.5625
12454,14.24,2,1,1,89.0625,1.8,1.5,5.25,4.5,0.78
12455,7.763,1,7,13,1199.859375,9.1,5.5,8,6.5,2
12456,6.093,1,4,5,204.65625,1.6499,1.75,4.5,4.5,0.5
12457,11.823,1,6,8,1221.625,7.0875,2.36,3.43,3.43,0.4375
12458,22.926,1,5,6,463.09375,7.31,1.5,4.25,2.5,0.5
12459,11.376,1,9,10,987.518875,9.8371,0.5,5.75,4.75,0.375
12460,5.713,1,6,9,708.0625,6.1675,7.25,8.25,2.5,0.125
12461,64.177,1,7,7,565.140625,7.62,1.5,4.25,2.5,0.5
12462,37.943,2,0,0,0,0,3,11.5,4.25,1.84
12463,7.813,1,9,9,562.7675,5.9449,3,11.75,4.25,1.125
12464,20.496,2,8,10,1525.140625,6.21,5.5,2.75,2.75,1.2375
12465,10.583,1,0,0,0,0,5.75,4.5,1.75,0.5
12466,53.96,5,4,10,375.5375,2.8538,3,5.25,5.25,1.06
12467,24.04,8,0,0,0,0,1.25,7.25,6,0.3125
12468,8.616,1,0,0,0,0,2.5,4,1.5,0.1875
12469,9.953,1,18,23,1555.840625,21.7864,1,9,5,0.4375
12470,37.55,3,8,13,1034,12.1512,9.5,4.25,4.25,4.46
12471,12.83,1,4,8,496.390625,4.3125,1.25,7.25,6,0.3125
12472,13.197,1,3,6,308.0932,2.5625,3.25,5.25,3.75,0.9375
12473,9.76,1,0,0,0,0,4,5,5,0.875
12474,3.927,1,1,1,85.3125,0.75,9.25,3,3,2.24
12475,8.724,1,12,24,1252.994,10.975,2.5,7,6.25,0.25
12476,16.843,1,2,3,529.46875,3.9275,3,9,8.5,1.125
12477,19.38,2,2,4,463.3125,2.125,3.25,6.5,3.25,1.0625
12478,26.98,1,0,0,0,0,8.25,9,7.25,9
12479,5.86,1,3,3,590.203125,4.7,3,11.5,4.25,1.84
12480,4.037,1,6,9,399.965,5.0825,6.75,3.75,2,0.5
12481,9.1,1,2,2,117.375,1.6,6,7,10,3.5
12482,18.236,1,2,3,232.1096177,4.4675,2.25,3,3,0.2656
12483,7.14,1,6,14,1152.734375,6.6875,1.25,4.85,3.55,0.52
12484,26.584,8,7,8,764.703125,6.5969,2.5,3,3,0.3312
12485,10.937,1,6,10,642.045,3.345,1.75,7.5,6,0.75
12486,12.086,1,3,7,362.5,4.3312,6,7,10,3.5
12487,28.61,1,2,2,441.25,3.2,1.75,8.5,4.75,0.6
12488,11.73,1,12,12,1513.3565,18.1125,5.25,10.25,0.25,0.5
12489,7.236,1,5,9,855.15625,11.2457,3,11.5,4.25,1.84
12490,47.41,2,2,3,673.4375,10.81,9.5,4,4,4
12491,36.593,2,6,11,1350.6875,9.33,9.5,4,4,3.4875
12492,20.633,4,2,4,282.5625,4.1875,5.5,2.75,2.75,1.2375
12493,9.434,2,6,7,933.7875,3.9212,1.25,8.25,5.5,0.4
12494,12.434,1,3,4,348.4205,5.0775,9.5,4,4,3.4875
12495,10.29,2,4,10,951.3864,11.525,0.9,7.6,6.4,0.625
12496,11.16,1,11,11,817.765625,10.05,7,5.25,3.5,0.875
12497,13.733,3,1,1,116.015625,2.1875,2.5,3.75,3.75,0.375
12498,12.663,1,0,0,0,0,9.5,4,4,3.4875
12499,27.387,1,1,1,225.46875,0.44,2.75,5.25,2.5,1.04
12500,11.273,1,3,4,679.5,6.4875,2.5,4.75,4.75,0.875
12501,5.026,1,10,14,1202.59375,10.0975,6,2.75,2.75,0.625
12502,10.657,1,5,17,916.9375,4.85,2.2,5.75,1.2,0.5
12503,55.777,1,8,10,1322.36875,9.8606,2,4.75,4.75,0.5
12504,6.337,1,4,7,1177.4375,11.2875,2.25,4.25,4.25,0.62
12505,17.59,1,3,4,480.891541,7.3187,3,9,8.5,1.125
12506,22.853,4,3,15,923.25,4.5712,2.5,4,4,0.4
12507,7.306,1,2,2,456.88188,4.0625,3.25,5.25,3.75,0.9375
12508,11.16,1,7,11,1471.375,9.2534,2.75,5.25,2.5,1.04
12509,13.91,1,7,12,1408,9.04,6.5,6.5,0.85,0.6438
12510,30.306,2,4,6,276,2.9187,3.75,1.5,1.5,0.125
12511,17.31,1,2,2,120.25,1.8125,7.25,8.25,2.5,0.125
12512,8.067,1,7,7,1428.778125,6.6775,1,9.5,6.25,0.52
12513,5.66,1,5,5,1118.75,8.67,1,9.5,6.25,0.52
12514,11.813,1,6,7,1061.5,21.335,9.5,4,4,3.4875
12515,13.877,1,4,5,944.015625,11.11,3,9,8.5,1.125
12516,8.1,1,11,11,1356.165868,13.7525,1.25,6.25,4.25,0.5625
12517,9.6,1,1,1,130.078125,4.46,2.75,5.25,2.5,1.04
12518,9.803,2,8,17,1589.413125,11.7513,2.2,5.75,1.2,0.5
12519,6.617,1,1,1,67.375,3.14,0.9,7.6,6.4,0.625
12520,6.65,1,12,23,1112.625,7.4255,5.25,6.5,1.5,0.82
12521,7.006,1,8,9,1069.53125,13.895,2.75,5,2.5,1.0125
12522,18.994,1,10,13,837.171875,9.295,3,11.5,4.25,1.84
12523,4.887,1,0,0,0,0,3,11.5,4.25,1.84
12524,5.814,2,6,8,607.74375,7.6438,3.5,2.75,2.75,0.4062
12525,9.61,1,6,6,816.078125,11.74,3,11.5,4.25,1.84
12526,12.403,1,2,2,227.8125,2.375,1.78,2.92,2.91,0.34
12527,39.487,3,14,16,1761.372118,11.6,5.5,2.75,2.75,1.2375
12528,9.426,1,7,8,759.0625,5.8887,3.25,4.25,4.25,0.54
12529,12.273,1,4,5,750.46875,5.0337,0.25,7.5,9.75,0.1875
12530,4.137,1,5,6,700.44375,6.65,8.5,2.5,2.5,0.4062
12531,22.097,2,12,13,1883.796875,16.0875,1.25,8.25,5.5,0.4
12532,10.156,1,7,7,902.553125,12.3688,1,9.25,6,0.52
12533,31.67,5,1,1,59.0625,0.42,3.5,2.75,2.75,0.2812
12534,5.907,1,6,7,528.219666,5.3312,7.5,9.5,0.5,0.25
12535,8.497,1,1,1,242.8125,0.4375,2.5,7,6.25,0.25
12536,52.524,2,9,16,1658.089606,12.1912,2.5,4,4,0.4
12537,8.597,1,4,6,890.9,6.3856,2.5,5.75,1.25,0.6
12538,102.133,1,4,9,653.075,4.5038,4,5.25,3,1.1625
12539,11.51,1,8,16,1556.125,13.5375,9.5,4,4,3.4875
12540,40.48,4,0,0,0,0,9.5,3.85,3.85,4.4938
12541,25.52,1,5,7,643.9375,4.2,3,11.5,4.25,1.84
12542,9.55,1,2,2,105,0.8756,3,11.75,4.25,1.125
12543,5.39,1,11,13,623.609375,12.5259,1,5.5,5,0.75
12544,9.117,1,9,10,987.6875,11.465,9.5,4,4.25,4
12545,13.373,1,1,1,62.5,1.08,1.25,8.25,5.5,0.4
12546,31.594,3,7,15,1767.840641,10.8143,2.75,11.75,4,1.5
12547,14.543,1,2,3,50.9375,0.74,2.75,5,2.5,1.0125
12548,20.596,1,4,24,1889.008165,7.35,9.5,3.85,3.85,4.4938
12549,10.46,1,5,7,442.906282,3.4837,1,9,5,0.4375
12550,99.51,1,2,2,189.734375,4.6125,1.5,4.25,2.5,0.5
12551,11.42,1,8,13,791.2413157,11.3537,0.9,7.6,6.4,0.625
12552,12.22,1,16,17,1448.953125,16.3538,5.563,5.125,0.938,0.5625
12553,12.75,1,0,0,0,0,1,8,5,0.3125
12554,5.59,1,2,3,123.375,1.1075,9.25,3,3,2.24
12555,17.077,1,6,7,282.7875,3.8638,1,9,5,0.4375
12556,7.916,1,6,8,721.275,5.922,2.25,4.25,4.25,0.62
12557,9.236,1,1,1,146.625,1.84,4.75,6,1.5,0.3125
12558,10.193,1,2,2,120.75,1.3625,8.5,2.5,2.5,0.4062
12559,10.107,1,3,5,539.9375,6.425,6.5,6.5,0.85,0.6438
12560,8.947,2,0,0,0,0,1,9,5,0.4375
12561,5.86,1,12,14,1854.53125,19.7962,1.25,6.25,4.25,0.5625
12562,17.593,1,6,6,777.3625,5.7163,1.5,4.25,2.5,0.5
12563,7.686,1,5,12,1009.9225,5.245,2.5,7.8,8.1,0.25
12564,9.24,1,6,9,1235.0125,14.5799,3,11.5,4.25,1.84
12565,4.724,1,3,4,202.5,2.5975,10.25,4.5,4.5,3
12566,6.294,1,6,9,1207.8002,5.0637,2,5.25,5.25,0.5
12567,9.133,1,10,14,1548.582192,17.3325,1.5,4.25,2.5,0.5
12568,13.263,1,0,0,0,0,1.5,5.25,2.75,0.54
12569,14.9,1,6,10,573.84375,5.2238,7,10,1,1.1
12570,5.797,1,6,15,944.3595,6.115,2.5,3.5,3.5,0.3312
12571,6.34,1,0,0,0,0,9.5,4,4,3.4875
12572,5.243,1,10,19,1010.5625,7.6774,2.75,5,2.5,1.0125
12573,8.647,1,21,25,1657.591875,19.1999,8.5,5.5,0.85,0.42
12574,9.23,2,5,5,367.421875,2.3762,3.25,5.25,3.75,0.9375
12575,11.164,1,8,9,1195.296875,15.25,3,5,5,1.0625
12576,9.043,2,7,9,773.56875,8.1675,1.65,4.29,4.29,0.25
12577,7.204,1,11,18,1225.815239,13.3125,2.75,5.25,2.5,1.04
12578,6.95,1,7,20,1324.9895,8.535,2.25,4.25,4.25,0.62
12579,7.9,1,4,7,1136.40625,11.7925,6,6,6,0.7931
12580,14.124,1,0,0,0,0,0.25,7.5,9.75,0.1875
12581,18.763,1,4,5,1551.3375,6.1209,2.75,4.75,2.5,1.04
12582,9.593,1,11,14,1341.596875,10.0644,9.5,3.85,3.85,4.4938
12583,10.874,1,1,2,150,0.5,2.75,6,4,0.75
12584,7.073,1,7,15,1064.28125,4.7625,2.5,5.25,3.25,1
12585,122.68,1,3,3,289.15625,3.75,2.75,5,2.75,1.2812
